t,comparisons,pq,pc,f1_star,f1,comparisons_alt,pq_alt,pc_alt,f1_star_alt,f1_alt,comparisons_old,pq_old,pc_old,f1_star_old,f1_old
0.05,0.557367157,0.00055559,0.994793797,0.001110557,0.005190244,0.56365045,0.000547712,0.992133043,0.001094818,0.004742564,0.618849421,0.000496372,0.989782052,0.000992246,0.004714802
0.1,0.557520738,0.000539571,0.996992481,0.001078555,0.004842281,0.55833265,0.000538002,0.996992481,0.001075422,0.004767465,0.617301324,0.000481625,0.990931527,0.000962782,0.004267791
0.15,0.055412345,0.004140725,0.762321835,0.00823671,0.012778216,0.061894139,0.004430065,0.909269357,0.008817105,0.011972257,0.438624726,0.000726413,0.96488167,0.001451637,0.005586322
0.2,0.055195936,0.004247692,0.781327364,0.008449448,0.012724025,0.060732724,0.004512284,0.911523083,0.008980048,0.012333115,0.208430383,0.001600832,0.932143335,0.003195411,0.009322351
0.25,0.055412345,0.004140725,0.762321835,0.00823671,0.012778216,0.061894139,0.004430065,0.909269357,0.008817105,0.011972257,0.133866312,0.001979939,0.880743844,0.003950996,0.009778148
0.3,0.016619925,0.010072758,0.542053607,0.019772457,0.013658577,0.02050117,0.010105336,0.675099964,0.019908973,0.013635012,0.133473711,0.002011914,0.895050604,0.004014803,0.010292769
0.35,0.01759422,0.009238954,0.52427634,0.018152197,0.013720556,0.02157335,0.009370968,0.656415849,0.018474401,0.013541301,0.064493321,0.004089583,0.830174673,0.008137029,0.011162243
0.4,0.016619925,0.010072758,0.542053607,0.019772457,0.013658577,0.02050117,0.010105336,0.675099964,0.019908973,0.013635012,0.058854399,0.00450204,0.836740707,0.008953868,0.011907775
0.45,0.01759422,0.009238954,0.52427634,0.018152197,0.013720556,0.02157335,0.009370968,0.656415849,0.018474401,0.013541301,0.022733702,0.010086358,0.713237292,0.019866901,0.01166784
0.5,0.001050478,0.013493625,0.047485125,0.021009306,0.007427956,0.001154889,0.020499868,0.07893015,0.032538236,0.008097587,0.020207364,0.011046957,0.695169221,0.021723199,0.011568396
0.55,0.001071117,0.0142254,0.050871453,0.022227831,0.00802181,0.001139713,0.020506524,0.077682757,0.032439068,0.006914692,0.012559603,0.013637374,0.565868871,0.026614916,0.010046785
0.6,0.001050478,0.013493625,0.047485125,0.021009306,0.007427956,0.001154889,0.020499868,0.07893015,0.032538236,0.008097587,0.007065308,0.020123748,0.422877805,0.038160648,0.010879103
0.65,0.000950469,0.011659495,0.036851671,0.017714263,0.006237334,0.000970805,0.019226446,0.062113299,0.029363366,0.00687289,0.004410582,0.02538582,0.371642848,0.04752206,0.010815417
0.7,0.000949558,0.01230996,0.03898678,0.018711661,0.007798368,0.000970956,0.020630131,0.066854158,0.03153015,0.008764933,0.003854687,0.025102143,0.31961966,0.046354904,0.010918963
0.75,0.000627221,0.0034185,0.007078766,0.004610191,0.004678158,0.00064179,0.007161697,0.015175343,0.009730576,0.004646001,0.00247732,0.025074515,0.208437123,0.044657662,0.01074134
0.8,0.000620999,0.00394151,0.008111883,0.005304981,0.005380576,0.000636023,0.008419665,0.017750483,0.011421261,0.005336349,0.001315602,0.020868944,0.093829995,0.033828652,0.010397919
0.85,0.000615232,0.003474967,0.007078766,0.004661474,0.00468922,0.000621303,0.005892773,0.012121908,0.00792995,0.004686912,0.001081892,0.014570358,0.052027014,0.022762388,0.008117756
0.9,0.00060552,0.004038025,0.008111883,0.005391794,nan,0.000607037,0.006528996,0.01317033,0.008729821,0.005391794,0.000942274,0.008211472,0.02581645,0.012459586,0.006449215
0.95,0.000610831,0.003506018,0.007078766,0.00468922,nan,0.000612349,0.005976699,0.012121908,0.008005673,0.00468922,0.000930437,0.007985528,0.024729763,0.012072023,0.005960951
